岗位名称,公司名称,薪资,岗位描述,投递要求,工作地点,学历,工作时长,实习时长
IT助理实习生,光大证券,80-120/天,【岗位职责】1、协助衍生品交易业务的日常数据分析工作，编写相关数据采集与分析脚本。2、协助衍生品管理系统设计和开发工作。3、协助撰写相关接口文档和单元测试用例。【专业需求】专业以计算机、电子等数理类学科为主；具有良好的数理基础和编程能力，熟悉Java 或者Python 编程语言。,投递要求：简历要求：中文截止日期：,上海市静安区新闸路1508号,硕士,5天／周,实习3个月
前端技术实习生,佳格天地,100-200/天,1.了解 JavaScript/Typescript、CSS、HTML、DOM/BOM、网络协议等前端相关技术，对主流前端框架（ React/Vue/Angular 等）中的至少一种有使用经验；2.了解ES6语法，了解WebPack，Gulp等前端自动化和工程化解决方案；3.能使用Git。4.关注前端前沿技术，具备较强的学习能力及责任心&semi;加分项1.熟悉至少一种服务端开发语言，如 Node.js、Python、Java、Go，了解 HTTP 协议相关的基础知识；2.熟悉Linux操作，掌握常用的shell命令；3.熟悉ArcGIS，熟悉开源GIS（GeoServer、OpenLayers、Mapbox、threejs）开发优先。,投递要求：简历要求：中文截止日期：,上海市徐汇区田林路130号20号楼氪空间,大专,4天／周,实习3个月
前端开发实习生,云体科技,150-250/天,云体科技招聘啦！！我们是：一家专注于汽车DevOps的高科技创业公司，帮助车企快速实现数字化转型。我们也是：一支年轻的、充满青年才俊的海归创业团队！！平均年龄28岁！团队成员来自于德国卡尔斯鲁厄理工大学、芬兰阿尔托大学、吉林大学、中国地质大学、北方工业大学的汽车或计算机专业。我们不仅拥有对应届生、实习生、正式岗位员工的系统化培养体系，扁平化、老带新的管理模式，我们也有以兴趣和能力为驱动的，内部员工转岗和培养机制，最大程度激发你的工作兴趣和培养你的工作能力！你将获得：高于行业平均水平的薪酬，轻松灵活的工作环境，互相学习的工作氛围，和无限的发展潜力，能够近距离地观察一家创业公司从0到1的建设过程，并能亲身参与其中。2021年已有超过10名优秀实习生从我们这儿获得了软件开发经验，并获得了我们的正式岗位或硕博申请推荐信。前端开发实习生（远程）职责范围：1、协助开发工程师一起，开发saas类软件；2、独立完成某些前端模块的开发，独立完成单元测试用例的编写。岗位要求：1、远程实习，每周至少能工作3天以上2、大三及以上；3、有软件开发项目经验；4、了解Vue，JavaScript，CSS ；5、了解git，使用过gitlab或github做多人项目的开发，熟悉git的基本操作；6、对代码质量有高要求，能在开发过程中编写单元测试7、有jira或类似jira的系统使用经验，如TAPD、redmine、禅道等等；8、对java，go有所了解是加分项,投递要求：简历要求：中文截止日期：,不限,不限,3天／周,实习3个月
后端开发工程师,iDaily·每日科技,200-400/天,岗位职责：负责团队应用层系统基础架构搭建岗位要求：1.了解 Ruby/Python/NodeJS/PHP/Java/Go/Erlang/C++ 等任意一门语言2.了解 MySQL / PostgreSQL 开发3.了解前端开发相关技术4.有钻研精神，并对新技术有孜孜不倦的追求,投递要求：简历要求：中文截止日期：,上海黄浦区建国中路8号桥创意园区,本科,4天／周,实习6个月
后端开发工程师,国耀圣康,150/天,1、负责Python后端服务开发，包括各种业务系统和大数据应用开发等；2、负责相应系统、模块的开发工作，包括需求分析、接口设计、数据设计、测试、性能优化等；3、负责持续优化系统架构，提升系统性能，优化数据结构，提升系统可扩展性；4、负责持续跟进系统 bug，构建高可用性后台系统；5、负责高质量的设计和编码，承担重点、难点的技术攻坚。任职要求：1、精通 Python 语言，熟练使用Python主流web框架；2、掌握 REST API 标准和接口开发；3、掌握 MVC 设计模式，熟悉系统分层和模块化设计；4、熟练使用 ElasticSearch，熟悉索引结构设计和性能调优；5、熟练使用 MySQL 等关系型数据库，熟悉数据库结构设计和性能调优；6、熟练使用 Redis 等NoSQL数据库。,投递要求：简历要求：中文截止日期：,上海市/上海市/黄浦区汉口路266号申大厦16楼,本科,5天／周,实习3个月
后端开发实习生,1Token,300-500/天,公司是金融行业的一站式软件系统提供商，我们专业服务于金融行业的买方、买方及托管行等机构，团队成员毕业于新加坡南洋理工，纽约大学，复旦大学等知名高校，核心团队有6年+的金融市场IT基建研发经验，及10年+的传统金融系统服务经验，此前任职的公司 Scivantage （已被 refinitiv 收购）是美国传统市场知名的金融软件系统提供商，服务包括美国银行、德意志银行、vanguard、Scottrade 等服务传统市场知名机构。我们的系统已服务超50家新加坡、香港，欧洲，中东，北美大机构客户，软件覆盖前-中-后台的解决方案，帮助机构管理客户/投资者、产品/金融服务、运营/流程、投资组合、抵押品、订单、执行/终端、风险/合规、清算/结算、资金转移/划转、数据/对账、会计等。目前公司盈利情况良好-团队来自南洋理工，纽约大学，杜克大学，芝加哥大学，复旦，交大，同济，财大等Google，摩根士丹利，paypal，refinitiv（300亿美金被收购），东方财富证券，中信证券，恒生电子等-团队14年开始在全球fintech领域展业，目前已经有多条盈利良好的业务线-比起刚起步的创业公司，我们有高的多的稳定性- 公司技术氛围好，CTO是联合创始人。技术栈新（golang/docker/云原生）， 有完善的code review和coverage体系。个人成长空间大，不做螺丝钉。工作职责- 理解金融产品方案 梳理产品底层技术逻辑- 与前端同步接口的设计- 对接数据库和已有模块，编写后端代码能力要求- 熟悉一门编程语言（golang/java/python/c/php等）- 熟悉 Redis， Postgres， Mysql 等数据库- 逻辑思维能力强- 本科以上学历只接受实习6个月以上/可转正的同学；以及只接受线下实习，不接受远程。PS：所有岗位皆可转正，正式员工全年最低16M。21年平均20-22M实习期超过3个月后无试用期工作地点：上海市杨浦区城市概念软件信息园8号楼南区B10,投递要求：简历要求：不限截止日期：,上海市/上海市/杨浦区城市概念软件信息园8号楼南区B10,本科,5天／周,实习3个月
IT技术支持实习生,中软国际,150/天,工作职责：协助EMC公司产品售后部的工程师完成产品故障处理，升级以及维护工作工作内容包括：负责企业级软件的技术支持工作，跟进各国客户的服务单直到问题解决通过电话或电话联系客户，搭建远程了解客户环境，分析问题原因除了软件本身，分析问题过程中还经常涉及网络、抓包、防火墙、Linux/Unix、NAS、带库和驱动器、云设备等的排查根据客户的环境或需求提供建议和改进方案职位要求：大三本科或硕士在读学生，非2021应届毕业生每周至少出勤3天（可包含1天周末），比如工作日任意2天+周末任意1天，或者工作日任意3天，工作时间早上9点到晚上6点需要熟练的英语阅读和书写能力，英语口语能够简单交流对IT行业计算机知识有兴趣学习个性积极乐观，做事认真仔细能静下心来踏实工作，且能够长期实习4个月以上实习生会考虑毕业后留用实习工资：薪资：150元/天每月出勤超过15天，额外500元奖金，超过19天的，800元奖金每月绩效前三名，有200-500元的奖金,投递要求：简历要求：中文截止日期：,工作地点:上海市杨浦区淞沪路433号,不限,3天／周,实习3个月
后端开发实习生,泽哇陆哆,250-300/天,1、参与产品服务端业务开发，计算机相关专业（2022年及以后毕业），基础扎实2、具有良好的编程习惯，熟悉至少一门编程语言，包括但不仅限于：C++、Go、Java、Python3、热爱编程，有较强的学习能力，能及时关注和学习业界最新技术加分项1、了解云计算/区块链相关技术者优先,投递要求：简历要求：中文截止日期：,上海市/上海市/静安区静安大融城7号楼沪太路1111弄7号楼710室,本科,5天／周,实习3个月
后端开发实习生,上海焜耀,200-400/天,面向23届985/211院校学生提供实习岗位对区块链行业及web3.0感兴趣的同学欢迎加入我们多语言培养，以golang和rust为主您加入我们，和一群精英合作，一起干一件推动分布式与区块链领域技术革新的大事岗位职责：1、理解行业场景，根据需求设计开发高性能、高安全性的后端代码；2、研究公司区块链业务相关的协议，运行机制、加密技术、底层实现和共识算法等，参与设计开发链底层程序和组件工具；3、参与相关技术的研究及技术难点的攻克，不断进行性能优化，代码优化；4、参与团队技术经验沉淀及分享，关注区块链相关前沿技术研究。岗位要求：1、23届985/211院校，计算机、数学、密码学相关专业；2、对区块链行业感兴趣。,投递要求：简历要求： 不限截止日期：,上海徐汇区漕河泾国际孵化中心A区21层,不限,5天／周,实习3个月
后端开发工程师,汇尼数科,150-250/天,岗位职责1. 公司独立运营产品后端开发工作，主要开发语言JAVA；2. 与产品、前端团队充分沟通，快速理解、消化各方需求，并落实为具体的开发和上架工作；3. 对各种后端技术有一定了解，能够快速掌握主流JAVA开发平台及环境，并进行项目实施及开发工作。岗位要求1. 计算机软件及相关专业，本科及以上学历，一年以内工作经验，实习生、应届生皆可；2. JAVA基础扎实，了解缓存，并发，多线程，事务等基本概念，有大型商业分布式系统开发经验优先考虑；3. 熟悉spring全家桶；有mybatis-plus，guava，redisson等常见优秀java开发库的实践经验；4. 了解常见中间件的应用场景/功能如：redis，消息队列，nacos，nginx；5. 了解关系型数据库概念，熟悉sql，有使用mysql，oracle或PG的实践经验； 熟练使用git，理解相关概念；6. 了解linux基本命令，有基础运维能力； 有较强的钻研能力、逻辑思维能力，关注行业前沿技术；7. 热爱技术，有较强的学习能力，非"机械化"开发人员；8. 有支付、金融科技、OA系统等相关商业项目经验优先。,投递要求：简历要求：中文截止日期：,浦江智谷商务园1号楼三楼西,本科,5天／周,实习6个月
后端Web开发,擎丰投资,150-300/天,岗位职责：· 采用Go(Golang)语言开发稳健的金融相关后端程序· 负责Go相关的开发工作· 负责内部代码维护岗位要求:· 计算机相关专业· 精通Go语言，最好对Go源代码有一定的了解· 有后台Web开发经验· 做事认真负责，喜欢钻研新技术· 有开源项目开发经验者优先,投递要求：简历要求：中文 英文截止日期：,上海市黄浦区桃源路85号永银大厦1202室,本科,5天／周,实习3个月
后端开发实习生,又为智能,200-250/天,职位职责：1、参与调研公司研发体系和流程，给出相应底层服务的平台设计和技术方案；2、将设计方案实现为具体的平台功能，持续跟踪结果、不断优化用户体验；3、主导或参与技术方案调研，原型系统搭建，工具链设计和开发等工作。职位要求：1、计算机，软件工程等相关专业，本科及以上学历&semi;2、良好的设计和编码习惯（所用语言主要为Python/Django）；3、良好的数据结构和算法知识；4、深入理解一门后端语言，对内存模型，并发编程，语言相关的设计模式有深刻认识；5、熟悉基础的数据库操作，了解至少一个关系数据库的使用/配置方法；6、对后端开发具有兴趣，工作踏实认真有责任心，积极主动解决技术难题，有良好的团队协作能力及沟通技巧；,投递要求：简历要求：中文截止日期：,上海市浦东新区荣科路118号凯瑞大厦2号楼1层,本科,4天／周,实习3个月
后端开发实习生,云扩科技,150-180/天,1、按需求和上级领导要求完成产品或项目的开发任务，保证开发质量；2、对负责领域模块进行日常问题的排查和修复。基本要求：1、 大专及以上学历，计算机相关专业；2、 掌握Python、Java、ASP.net(C#)等其中一种技术，有开发经验者优先；3、 了解 JavaScript，了解HTML、CSS、JS、Ajax或Jquery；4、 拥有代码规范意识、文档撰写规范意识和团队合作沟通交流意识；5、 做事认真负责，性格积极开朗。,投递要求：简历要求：中文截止日期：,上海市徐汇区徐汇万科中心H座5层,大专,4天／周,实习3个月
后端开发工程师,海深科技,250-400/天,岗位职责：业务相关的应用开发以及系统部署等岗位要求：1. 本科及以上学历，计算机相关专业2. 有比较强的代码能力3. 熟悉常用的算法和数据结构4. 主动、严谨，能够承受一定的工作压力,投递要求：简历要求：中文截止日期：,上海市浦东软件园博霞路22号,本科,5天／周,实习6个月
IT开发实习生,东海基金,100-120/天,工作职责： 1、主要负责基金公司后台系统的开发，参与架构设计工作（有投研系统研发、大数据平台研发两个方向）；2、参与项目需求分析，负责系统功能模块的设计和相应的开发工作；3、系统日常维护及持续改进、参与系统代码 Review&semi;4、配合团队成员进行系统的各项测试和部署，配合项目负责人制项目研发工作计划、统筹整体工作进度等项目管理工作；5、承担部分外包人员的日常管理工作；6、 完成领导分配的其他工作。 岗位要求1、硕士以上学历，计算机类、电子类、电气类、自动化类、数学类或金融相关等相关专业优先，有志于在金融科技行业长期耕耘；2、计算机基础扎实， 熟悉常见的算法与数据结构；3、熟练使用以下几种编程语言中的一种（Java、C++/C 、GO、Python)，掌握至少一种中间件的（消息队列、内存数据库等中间件）；4、熟练使用常见的关系型数据库，熟悉数据库设计相关理论、掌握SQL语句；5、熟悉大数据相关组件与架构（Hive 、Spark、Hbase 或其他大数据组件）有大数据相关科研背景或研发经验的；6、熟悉Spring Boot 或Spring Cloud 相关技术框架。 备注： 5、6两条满足一条即可；办公地点：上海市浦东新区陆家嘴基金大厦15楼（近浦电路）,投递要求：简历要求：中文截止日期：,上海市/上海市/浦东新区东海基金管理有限责任公司陆家嘴基金大厦15楼,硕士,3天／周,实习3个月
互联网产品运营管理培训生,锐陌科技,100-200/天,岗位职责：1. 负责公司互联网产品的运营维护，包含但不限于内容运营、社群运营、市场运营；2. 公司统一安排培训，培训合格由线上实习转为线下实习；3.内容运营包含但不限于微信公众号和知乎的运营及短视频方面的运营；4.社群运营包含社群获客、激活、留存、唤醒、转化等整个流程；5.市场运营包含商业合作的流量置换、活动策划、活动执行、黑客增长等各个方面。任职要求：1.拥有良好的主动学习能力，热爱互联网行业2.有责任心，积极主动，看过1本以上运营相关的书籍3.有运营过新媒体或在互联网公司实习经历者优先,投递要求：简历要求：中文截止日期：,远程,不限,5天／周,实习2个月
前端开发实习生,KnowYourself,150-250/天,岗位职责：1. 参与PC、H5、nodejs 等不同终端的项目研发；2. 学习软件开发的工作流程，与小伙伴一同完善产品功能；任职要求：1. 熟练掌握 HTML/CSS/JS 等主流前端语法；2. 有 React 编码经验，并了解React全家桶；3. 了解小程序的开发、发布模式；4. 有线上作品者优先考虑；熟悉React框架优先；5. 2024届本科以上在校生，一周至少4天，长期优先,投递要求：简历要求：中文截止日期：,上海市/上海市/虹口区飞虹路瑞虹企业天地,本科,4天／周,实习3个月
管理/IT咨询实习生,AMT,120/天,岗位职责：1.参与项目期间各项会议；2.撰写会议纪要、项目进展通报等文案材料；3.协助咨询顾问撰写行业研究、项目方案、数据分析等材料；4. 配合、协助、并完成项目相关负责人布置的工作任务。岗位要求：1. 本科（含在读）及以上学历，管理、统计、供应链、数学等专业优先；2.良好的沟通能力、积极主动；3.优秀的文字能力，熟练应用PPT、Excel、SPSS等办公软件；4.实习期至少三个月，每周至少三天；5.工作地点：上海市区，详细地点根据项目。你能得到什么：1.优秀同学可得到留用机会；2.在项目中接触认识不同的企业，学习企业管理或IT相关专业知识；3.有机会直接与客户交流对接；4.nice的团队氛围。,投递要求：简历要求：中文截止日期：,上海,本科,3天／周,实习3个月
前端开发实习生,TRLab,300/天,岗位职责：1. 参与公司NFT平台的前端开发工作，包括NFT发行、交易市场、钱包与账户管理等；2. 与产品经理和UI设计师紧密配合，给用户创造新颖和前卫的使用体验；3. 协助优化前端技术框架，参与打造公司的标准化、精细化、高性能的前端组件库；4. 跟踪研究前端领域的前沿技术与应用，促进公司相关产品技术的创新和发展。任职要求：1. 大三、研一、研二在校生，计算机相关专业；2. 熟练React，熟练JavaScript/TypeScript，有Hardhat/Truffle/Metamask等区块链开发工具经验者优先；3. 具备优秀的沟通能力，我们是一个高度全球化协作的团队，英文流利者优先；其它福利：非上海学生提供1000元/月租房补贴,投递要求：简历要求：中文截止日期：,上海市闵行区漕河泾浦江科技广场5号楼,本科,4天／周,实习6个月
前端开发实习生,虎扑,200-250/天,职位描述：1.参与研发部的前端开发工作；2.优化前端功能设计，解决浏览器和终端设备的兼容性问题；3.通过技术手段，提升用户体验并满足高性能要求；4.主要前端框架：React。任职要求：1.本科及以上学历，计算机相关专业； 2.良好的设计和编码品味，热爱写代码，能产出高质量的设计和代码；3.精通WEB前端开发技术，包括不限于JavaScript、TypeScript、jQuery、CSS等技术；4.有一定的实际开发经验，热爱技术，良好的沟通协作能力；5.仅限2024届，一周实习5天，可实习6个月以上的优先考虑。,投递要求：简历要求：中文截止日期：,花园坊A2栋3层（花园路171号）,本科,5天／周,实习3个月
前端开发工程师,奥梭格纳,200-300/天,一、 岗位职责web应用的设计与开发二、 岗位要求1、国内外优秀高校应届毕业生，计算机相关专业，以留用为目标2、熟悉了解React+TS 16+3、性格乐观开朗，积极向上4、逻辑能力强，善于思考，能够对使用过的产品进行批判性总结5、学习能力强，乐于探索未知且富有创造力6、表达能力强，能够与不同背景的人沟通合作,投递要求：简历要求：不限截止日期：,上海市/上海市/徐汇区嘉善老市4楼,本科,5天／周,实习6个月
前端开发实习生,太平金服,100-200/天,工作职责:1. 负责移动端和平台产品页面的web前端开发、优化web前端用户体验及架构；2. 配合后端完成接口调试、独立开发前端功能页面以及相关业务需求；3. 根据业务需求，设计并实现技术解决方案。4. 手机APP和网页HTML5页面互动开发、优化。任职资格:1. 计算机及相关专业，本科及以上学历在校生；2. 有实际的H5项目开发经验；3. 熟悉Vue2.0、3.0开发框架，熟悉XHTML/HTML、CSS/CSS3、JavaScript等前端相关技术，熟悉HTML5/XML、W3C标准。,投递要求：简历要求：中文截止日期：,上海市/上海市/徐汇区凯滨路183号保利西岸B座,本科,3天／周,实习3个月
前端开发实习生,蜻蜓智联,150-300/天,【岗位职责】 1. 小程序端/web端开发与部署； 2. app端开发与部署； 3. 其他前端开发工作； 【任职要求】 1. 本科及以上学历，计算机、软件工程、信息系统等相关专业，能独立完成编码、系统设计； 2. 熟悉HTML/CSS3/JS及主流前端框架，如vue等； 3. 熟悉uni-app开发； 4. 了解不同操作系统及浏览器的兼容性区别； 5. 对服务器开发有一定的了解，能够运用ajax配合后端工程师完成相关工作； 6. 自学能力强，上进心强，善于沟通，团队荣誉感强； 7. 有实习经验/实际项目开发经验的优先；熟悉layui框架的优先。,投递要求：简历要求：中文截止日期：,上海市/上海市/嘉定区慧创国际B区391号楼金沙江西路1555弄391号,本科,5天／周,实习6个月
前端开发工程师,孤波科技,200-250/天,工作职责： 使用 Power Platform 工具（如 Power Apps、Power Automate、Power BI、Power  Virtual Agents 等）开发应用程序、自动化业务流程、分析数据以及创建虚拟代理人等。 与业务团队合作，理解业务需求并将其转化为可行的解决方案。 设计和实现 Power Platform 应用程序的数据模型和数据连接，确保数据的准确性和完整性。  编写和维护 Power Platform 应用程序的代码库，确保代码的可读性、可维护性和可扩展性。 进行 Power Platform 应用程序的测试和调试，确保应用程序的质量和稳定性。  提供技术支持和培训，确保用户能够有效地使用 Power Platform 应用程序。  任职要求： 本科或以上学历，计算机科学、软件工程或相关专业。 具有SqlServer数据库或其它关系型数据数据库使用经验。 熟悉HTML，JavaScript等前端开发开发技术。 了解 Power Platform 工具，如 Power Apps、Power Automate、Power BI、Power Virtual  Agents 等。 具备业务流程分析和设计经验，能够理解业务需求并将其转化为可行的解决方案。 具备数据分析和可视化经验，熟悉数据建模和数据连接。 能够独立工作，具备团队合作精神，良好的沟通能力和解决问题的能力。,投递要求：简历要求：中文截止日期：,上海市/上海市/浦东新区华虹科技园碧波路177号,本科,5天／周,实习3个月
前端开发实习生,哔哩哔哩,200-400/天,工作职责:1、负责哔哩哔哩商业化相关平台与产品的前端开发工作；2、协同产品及服务端完成整体项目评审、开发、测试、上线工作；工作要求:1、具备扎实的计算机基础知识；2、熟悉JS，CSS3，HTML5，DOM、协议、安全、网络等前端开发技术；3、对主流前端框架（React\Vue\Angular等）至少一种有应用并理解其设计原理；4、熟悉前端开发调试、脚手架等工具；5、有责任心，良好的沟通协作能力；6、24届及以后毕业，每周至少实习4天。,投递要求：简历要求：中文 英文截止日期：,政立路489号国正中心1号楼7楼,本科,4天／周,实习6个月
前端开发实习生,德勤华东,120-150/天,德勤分析研究所是一个卓越中心，能够在德勤的所有职能中使用分析:咨询、企业风险服务、财务咨询服务、税务和审计。今天的商业环境产生了大量的数据和信息，几乎所有这些信息都被捕获和存储在计算机的形式。DAI帮助业务、财务和风险管理人员理解这些电子数据，并将其放入上下文。我们的客户包括银行、保险、制造、电信、技术、能源和资源等行业的最大公司。作为德勤分析学院的实习生，你将会1. 与后端工程师和产品经理合作，为内部应用开发易于使用和美观的前端页面2. 研究前端新技术，并将其应用到实际项目中3.参与并领导技术框架的选择资格:1. 本科及以上学历，计算机、交互设计或艺术设计相关专业2. 扎实的HTML， CSS， Javascript技能。3.熟练掌握React/Nextjs/Vue等主流前端框架4. 掌握任何后端语言者优先5. 熟悉Linux操作系统，熟悉前端开发工具，如Webpack6. 开放源码项目或贡献是首选7. 能阅读英文文件者优先8. 时刻关注相关领域新技术和新知识的优先性,投递要求：简历要求：中文截止日期：,上海市/上海市/浦东新区外滩中心,本科,5天／周,实习3个月
前端开发实习生,ZStack,200-250/天,岗位职责：负责ZStack管理界面的开发工作&semi;根据需求，设计并实现云计算系统管理界面的前端和后端相关功能&semi;岗位要求：本科/硕士，通信、计算机等相关专业&semi;熟悉Javascript语言&semi;熟悉CSS布局&semi;熟悉Vue.js、ReactJS、AngularJS等现代前端框架中的一种&semi;了解git版本控制系统&semi;具备较强的问题分析能力和团队合作能力&semi;,投递要求：简历要求：中文截止日期：,上海市闵行区东川路555号紫竹科技园4号楼5楼,本科,5天／周,实习6个月
